"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","Item Response OID","Element OID","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status","CAT OID","Form Item OID"
"LasikACTS2DOInd","No activity due to vision","Unique Data Element","1.0","Are there daily activities that you would like to do, but don't do, because of your vision or the type of vision correction you have?","Are there daily activities that you would like to do, but don't do, because of your vision or the type of vision correction you have?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3","Yes, many;Yes, one or a few;No","1;2;3","","","","","A26","Are there daily activities that you would like to do, but don't do, because of your vision or the type of vision correction you have?","","LASIK Quality of Life Collaboration Project Pre Op: PRACTIVE v1.0;LASIK Quality of Life Collaboration Project Post Op: POACTIVE v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7Jzd1K1g7","","ACTS2DO","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGLROWBVScl","Glare with correction","Unique Data Element","1.0","In the last 7 days, how often have you noticed glare when you wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how often have you noticed glare when you wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Never;Rarely;Sometimes;Often;Always;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about glare. By glare, we mean difficulty seeing well when there are bright lights like headlights or sunlight, such as shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less than what is shown.","A54","In the last 7 days, how often have you noticed glare when you wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRGLRCOR v1.0;LASIK Quality of Life Collaboration Project Post Op: POGLRCOR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1qtjQfgm","","GLROWBV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"VisitNoLasik","Visit Number","Unique Data Element","1.0","The visit in which the questions were answered","The visit in which the questions were answered","Alphanumeric","","Multiple Pre-Defined Values Selected","","","0;000A;003A;1;3;444;6","Baseline (0 month);Baseline intemediate;3 months intermediate;1 month after surgery;3 months after surgery;Other, specify;6months","0;2;4;1;3;444;6","","","","","","Context to which the questions were answered","","LASIK Quality of Life Collaboration Project Pre Op: PROJID v1.0;LASIK Quality of Life Collaboration Project Post Op: PROJID v1.0","Adult and Pediatric","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikACMPTASKScl","Accomplish tasks","Unique Data Element","1.0","I am sure I can accomplish tasks before me.","I am sure I can accomplish tasks before me.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B12","I am sure I can accomplish tasks before me.","","LASIK Quality of Life Collaboration Project: PRACCMP v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","my5AJQLlX","","ACMPTASK","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSTBAWVCScl","Starburst correct active","Unique Data Element","1.0","In the last 7 days, how much difficulty have you had doing your usual activities because you see starbursts when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how much difficulty have you had doing your usual activities because you see starbursts when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about starbursts. By starbursts, we mean seeing rays of light coming out from lighted objects, such as in the car headlights in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A74","In the last 7 days, how much difficulty have you had doing your usual activities because you see starbursts when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRSTCRAC v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XknVIHGg7","","STBA_WVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGOWRONGScl","Something will go wrong","Unique Data Element","1.0","If something can go wrong for me, it will.","If something can go wrong for me, it will.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","A95","If something can go wrong for me, it will.","","LASIK Quality of Life Collaboration Project: PRGOWRNG v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mkC_9fUem","","GOWRONG","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"DataSource","Data source","Common Data Element","1.0","Source of the data provided on the case report form","Source of the data provided on the case report form","Alphanumeric","","Multiple Pre-Defined Values Selected","","","Brother;Chart/Medical record;Daughter;Family, specify relation;Father;Friend;Mother;Other, specify;Participant/subject;Physician;Sister;Son;Unknown","Brother;Chart/Medical record;Daughter;Family, specify relation;Father;Friend;Mother;Other, specify;Participant/subject;Physician;Sister;Son;Unknown",";;;444;;;;;;;;;999","","","","Choose all that apply
","","Indicate how the medical/family history information was obtained
","","","Adult and Pediatric","Outcomes and End Points.Other Clinical Data","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Data source","","","NIH/NINDS/BRICS","","","","","NIH/NINDS/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSMLLPRNTScl","Difficulty small print","Unique Data Element","1.0","How much difficulty do you have reading small print in a telephone book, on a medicine bottle, or on legal forms?","How much difficulty do you have reading small print in a telephone book, on a medicine bottle, or on legal forms?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never try to do these activities because of vision;Never do these activities for other reasons","1;2;3;4;5;6","","","","","A25","How much difficulty do you have reading small print in a telephone book, on a medicine bottle, or on legal forms?","","LASIK Quality of Life Collaboration Project Pre Op: PRSMPRNT v1.0;LASIK Quality of Life Collaboration Project Post Op: POSMPRNT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1soROJxm","","SMLLPRNT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDAYDRVScl","Difficulty driving day","Unique Data Element","1.0","Because of your vision, how much difficulty do you have driving during the daytime in familiar places? Would you say you have:","Because of your vision, how much difficulty do you have driving during the daytime in familiar places? Would you say you have:","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never drive during the daytime because of vision;Never drive during the daytime for other reasons","1;2;3;4;5;6","","","","When you answer the question below, think about your vision with the vision correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all.","A14","Because of your vision, how much difficulty do you have driving during the daytime in familiar places? Would you say you have:","","LASIK Quality of Life Collaboration Project Pre Op: PRDRVDAY v1.0;LASIK Quality of Life Collaboration Project Post Op: PODRVDAY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","m1AHEHCJm","","DAYDRV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikLTPFCTScl","Less than perfect vision LASIK","Unique Data Element","1.0","I could accept less than perfect vision if I did not need glasses or contact lenses any more after healing from LASIK surgery.","I could accept less than perfect vision if I did not need glasses or contact lenses any more after healing from LASIK surgery.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Definitely true;Mostly true;Don't know;Mostly false;Definitely false","1;2;3;4;5","","","","","A10","I could accept less than perfect vision if I did not need glasses or contact lenses any more after healing from LASIK surgery.","","LASIK Quality of Life Collaboration Project: PRLSPFVS v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QJ7qqNRyX","","LTPFCT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"EthnUSACat","Ethnicity USA category","Common Data Element","1.0","Category of ethnicity the participant/subject most closely identifies with","Category of ethnicity the participant/subject most closely identifies with","Alphanumeric","","Single Pre-Defined Value Selected","","","Hispanic or Latino;Not Hispanic or Latino;Not reported;Unknown","A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.  The term �Spanish origin� can also be used in addition to �Hispanic or Latino.�;A person not meeting the definition for Hispanic or Latino.;Not provided or available;Could not be determined or unsure",";;;","","","","GENERAL:
Choose one.  Response is obtained by report of the participant/subject or caretaker. If more detailed characterizations of ethnicity are collected to enhance data quality and consistency, it is recommended that they be ""collapsible"" up to the two categories for reportable ethnicity, as needed for reporting to FDA under its guidance. Other regulatory bodies may expect the reporting of ethnicity values which more appropriately reflect the population of their areas (e.g., Japanese ancestry for MHLW reporting to Japan). These may be collected as an extension to the suggested code list.
-----
TBI:
Choose one
-----
PD:
Choose only one with which the participant/subject most closely identifies.
-----
FA:
Choose only one with which the participant/ subject most closely identifies.
-----
ALS:
Choose only one with which the participant/subject most closely identifies.
-----
NMD:
ï¿½Xï¿½ ONLY one with which you MOST CLOSELY identify
-----
SMA:
ï¿½Xï¿½ ONLY one with which you MOST CLOSELY identify
-----
MG:
X ONLY one with which you MOST CLOSELY identify
-----
EPILEPSY:
Choose only one that the participant/subject most closely identifies
-----
STROKE:
Choose only one with which the participant/ subject most closely identifies.  Ethnicity should be reported by the subject or caretaker.
-----
HD:
Choose only one with which the participant/ subject most closely identifies.
-----
MS:
Choose one.  Response is obtained by report of the participant/subject or caretaker.  If more detailed characterizations of ethnicity are collected to enhance data quality and consistency, it is recommended that they be ""collapsible"" up to the two categories for reportable ethnicity, as needed for reporting to FDA under its guidance. Other regulatory bodies may expect the reporting of ethnicity values which more appropriately reflect the population of their areas (e.g., Japanese ancestry for MHLW reporting to Japan). These may be collected as an extension to the suggested code list.
-----
HEADACHE:
Choose only one with which the participant/ subject most closely identifies.
-----
TBI (TBIACUTE):
Choose one
-----
TBI (TBIMILD):
Choose one
-----
TBI (TBIMOD):
Choose one
-----
TBI (TBIEPID):
Choose one","STROKE:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 defines the minimum standard of basic racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm) Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) NCI CDE Browser Public ID 2192217
-----
MS:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 defines the minimum standard of basic racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)  Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm)","ALS (F0954):
Ethnicity
-----
EPILEPSY (F1100):
Ethnicity
-----
FA (F0919):
Ethnicity
-----
GENERAL (F0016):
Ethnicity
-----
HD (F1207):
Ethnicity
-----
HEADACHE (F1350):
Ethnicity
-----
MG (F1082):
Ethnicity
-----
MS (F1273):
Ethnicity
-----
NMD (F1031):
Ethnicity
-----
PD (F0745):
Ethnicity
-----
SMA (F1031):
Ethnicity
-----
STROKE (F1150):
Ethnicity
-----
TBI (F0300):
Ethnicity
-----
TBI (F1534):
Ethnicity
-----
TBI (F1535):
Ethnicity
-----
TBI (F1536):
Ethnicity
-----
TBI (F1537):
Ethnicity","","ALS/EPILEPSY/FA/GENERAL/HEADACHE/MG/MS/NMD/PD/SMA/STROKE
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 defines the minimum standard of basic racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)  Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm)
-----
HD:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 defines the minimum standard of basic racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)
-----
TBI:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget (OMB) Directive No. 15 defines the minimum standard of Core racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)  Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) Jorde LB and Wooding SP. Genetic variation, classification and ""race"". Nature Genetics. 2004;36(11):S28-S33. Bhopal R and Donaldson L. White, European, Western, Caucasian, or What? Inappropriate labeling in Research on Race, Ethnicity, and Health. Amer J of Publ Health. 1998;88:1303-1307.","Adult and Pediatric","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","","","","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core","","","","Core","Core","Ethnicity USA category","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","2016-01-26","2016-01-27","Published",,
"LasikESYRELAXScl","Easy to relax","Unique Data Element","1.0","It's easy for me to relax.","It's easy for me to relax.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","A94","It's easy for me to relax.","","LASIK Quality of Life Collaboration Project: PRRELAX v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7Jff5MUgX","","ESYRELAX","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGLRAWVCScl","Glare correction activity","Unique Data Element","1.0","In the last 7 days, how much difficulty have you had doing your usual activities because you noticed glare when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how much difficulty have you had doing your usual activities because you noticed glare when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficult that I can no longer do some of my usual activities;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about glare. By glare, we mean difficulty seeing well when there are bright lights like headlights or sunlight, such as shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less than what is shown.","A58","In the last 7 days, how much difficulty have you had doing your usual activities because you noticed glare when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRGLCRAC v1.0;LASIK Quality of Life Collaboration Project Post Op: POGLCRAC v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Q1q9utOeQ","","GLRBA_WVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikNEWSPRNTScl","Difficulty with newspaper","Unique Data Element","1.0","How much difficulty do you have reading ordinary print in newspapers?","How much difficulty do you have reading ordinary print in newspapers?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never try to do this because of vision;Never try to do this for other reasons","1;2;3;4;5;6","","","","","A24","How much difficulty do you have reading ordinary print in newspapers?","","LASIK Quality of Life Collaboration Project Pre Op: PRNEWSPR v1.0;LASIK Quality of Life Collaboration Project Post Op: PONEWSPR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Xk8XR_1em","","NEWSPRNT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikNOTUPSETScl","Don't get upset easily","Unique Data Element","1.0","I don't get upset too easily.","I don't get upset too easily.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","B01","I don't get upset too easily.","","LASIK Quality of Life Collaboration Project: PRUPSET v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Q1x1hfLeQ","","NOTUPSET","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikWORKPRODScl","Eyes affect productivity","Unique Data Element","1.0","During the past seven days, how much did eye problems affect your productivity while you were working?","During the past seven days, how much did eye problems affect your productivity while you were working?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;10;2;3;4;5;6;7;8;9","0 -Eye problem(s) had no effect on my work;1;10 -Eye problem(s) completely prevented me from working;2;3;4;5;6;7;8;9","0;1;10;2;3;4;5;6;7;8;9","","","","Think about days you were limited in the amount or kind of work you could do, days you accomplished less than you would like, or days you could not do your work as carefully as usual. If eye problems affected your work only a little, choose a low number. Choose a high number if eye problems affected your work a great deal. ","A41","During the past seven days, how much did eye problems affect your productivity while you were working? Consider only how much eye problems affected productivity while you were working.","","LASIK Quality of Life Collaboration Project Pre Op: PRPRODCT v1.0;LASIK Quality of Life Collaboration Project Post Op: POPRODCT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QkS8Q9kxm","","WORKPROD","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"SubjectIDNumLasik","Subject identifier number","Unique Data Element","1.0","Unique identification number given to the study participant/ subject.","Unique identification number given to the study participant/ subject.","Numeric Values","","Free-Form Entry","0","10000","","","","","","","The participant or subject identifiers or IDs should be assigned by the study.
","","Participant or subject identification number","","GENERAL:
No references available
-----
PD:
No references available
-----
SCI:
Alexander MS, Biering-S?rensen F, Elliott S, Kreuter M, S?nksen J. International Spinal Cord Injury Female Sexual and Reproductive Function Basic Data Set. Spinal Cord. 2011 Jul;49(7):787-90. Alexander MS, Biering-S?rensen F, Elliott S, Kreuter M, S?nksen J. International Spinal Cord Injury Male Sexual Function Basic Data Set. Spinal Cord. 2011 Jul;49(7):795-8.
-----
SCI:
Bauman WA, Biering-S?rensen F, Krassioukov A. International spinal cord injury endocrine and metabolic function basic data set. Spinal Cord. 2011 Oct;49(10):1068-72.
-----
SCI:
Biering-S?rensen F, Craggs M, Kennelly M, Schick E, Wyndaele JJ. International Lower Urinary Tract Function Basic Spinal Cord Injury Data Set. Spinal Cord 2008 May;46(5):325-30.
-----
SCI:
Biering-S?rensen F, Craggs M, Kennelly M, Schick E, Wyndaele J-J. International urinary tract imaging basic spinal cord injury data set. Spinal Cord 2009 May;47(5):379-83.
-----
SCI:
Biering-S?rensen F, Craggs M, Kennelly M, Schick E, Wyndaele JJ. International urodynamic basic spinal cord injury data set. Spinal Cord 2008 Jul;46(7):513-6.
-----
SCI:
Biering-S?rensen F, Krassioukov A, Alexander MS, Donovan W, Karlsson AK, Mueller G, Perkash I, William Sheel A, Wecht J, Schilero GJ.International Spinal Cord Injury Pulmonary Function Basic Data Set. Spinal Cord. 2012 Jun; 50(6):418-21.
-----
SCI:
Charlifue S, Post MW, Biering-S?rensen F, Catz A, Dijkers M, Geyh S, Horsewell J, Noonan V, Noreau L, Tate D, Sinnott KA. International Spinal Cord Injury Quality of Life Basic Data Set. Spinal Cord. 2012 Mar 27. [Epub ahead of print]
-----
SCI:
DeVivo M, Biering-S?rensen F, Charlifue S, Noonan V, Post M, Stripling T, Wing P. International Spinal Cord Injury Core Data Set. Spinal Cord 2006 Sep;44(9):535-40.
-----
SCI:
Dvorak MF, Wing PC, Fehlings MG, Vaccaro AR, Itshayek E, Biering-Sorensen F, Noonan VK. International Spinal Cord Injury Spinal Column Injury Basic Data Set. Spinal Cord. 2012 Jun 5. [Epub ahead of print]
-----
SCI:
Karlsson AK, Krassioukov A, Alexander MS, Donovan W, Biering-S?rensen F. International Spinal Cord Injury Skin and Thermoregulation Function Basic Data Set. Spinal Cord. 2012 Jan 31. [Epub ahead of print]
-----
SCI:
Krassioukov A, Alexander MS, Karlsson AK, Donovan W, Mathias CJ, Biering-S?rensen F. International spinal cord injury cardiovascular function basic data set. Spinal Cord. 2010 Aug;48(8):586-90.
-----
SCI:
Krogh K, Perkash I, Stiens SA, Biering-S?rensen F. International bowel function basic spinal cord injury data set. Spinal Cord. 2009 Mar;47(3):230-4
-----
SCI:
Krogh K, Perkash I, Stiens SA, Biering-S?rensen F. International bowel function extended spinal cord injury data set. Spinal Cord. 2009 Mar;47(3):235-41.
-----
SCI:
No references available
-----
SCI:
Used with permission of the American Spinal Injury Association:  International Standards for Neurological Classification of Spinal Cord Injury, revised 2002:  Atlanta, GA.
-----
SCI:
Widerstr?m-Noga E, Biering-S?rensen F, Bryce T, Cardenas DD, Finnerup NB, Jensen MP, Richards JS, Siddall PJ. The international spinal cord injury pain basic data set. Spinal Cord. 2008 Dec;46(12):818-23.","Adult and Pediatric","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDSTVSNInd","Distorted vision 7 days","Unique Data Element","1.0","Have you experienced distorted vision in the last 7 days?","Have you experienced distorted vision in the last 7 days?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2","Yes;No","1;2","","","","","A33","Have you experienced distorted vision in the last 7 days?","","LASIK Quality of Life Collaboration Project Pre Op: PR7DDVIS v1.0;LASIK Quality of Life Collaboration Project Post Op: PO7DDVIS v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","my3JvFJgm","","DSTVSN","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGLRBNVCScl","Glare no correct bother","Unique Data Element","1.0","In the last 7 days, how bothersome has the glare been when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how bothersome has the glare been when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about glare. By glare, we mean difficulty seeing well when there are bright lights like headlights or sunlight, such as shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less than what is shown.","A57","In the last 7 days, how bothersome has the glare been when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRGLNCBT v1.0;LASIK Quality of Life Collaboration Project Post Op: POGLNCBT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","m1OSp7fgX","","GLRB_NVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHLOANVCScl","Halos no correct activity","Unique Data Element","1.0","In the last 7 days, how much difficulty have you had doing your usual activities because you see halos when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how much difficulty have you had doing your usual activities because you see halos when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficult that I can no longer do some of my  usual activities;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about halos. By halos, we mean seeing a fuzzy cloud of light around lighted objects, such as the ones shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A67","In the last 7 days, how much difficulty have you had doing your usual activities because you see halos when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRHLNCAC v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7yPuJSfxX","","HLOA_NVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
